14256979	CRR101242
13978968	CRR101243
13948029	CRR101244
13942635	CRR101245
15398110	CRR101250
15082853	CRR101251
15114658	CRR101252
15170843	CRR101253
80194820	SRR6941195
83922556	SRR6941196
40953046	SRR6941197
40613955	SRR6941198
41863558	SRR6954088
40772343	SRR6954089
69085228	CRR033294
72776231	CRR033295
   205955623	Embrio1
   211838749	Embrio2
20060181	SRR12017692
19563730	SRR12017693
20069688	SRR12017694
19228922	SRR12017695
21763104	SRR12017696
20938400	SRR12017697
21491948	SRR12017698
20637147	SRR12017699
17940326	SRR12017700
17467866	SRR12017701
17737493	SRR12017702
17725195	SRR12017703
21451056	SRR12017704
20723202	SRR12017705
21189333	SRR12017706
20323296	SRR12017707
45040276	SRR22797220
46125327	SRR22797221
55028727	SRR22797222
43407340	SRR22797223
47966370	SRR22797224
44948111	SRR22797225
49950638	SRR22797226
106248628	SRR7707725
117793149	SRR7707726
119235655	SRR7707727
124384234	SRR7707728
123295174	SRR7707729
55495977	SRR13215351
57931112	SRR13215352
63135510	SRR13215353
58398361	SRR13215354
57583629	SRR13215355
61870403	SRR13215356
58045564	SRR13215357
56945651	SRR13215359
90500390	SRR13215402
88548908	SRR13215403
90957011	SRR13215404
90301770	SRR13215406
110166308	SRR13215407
92990081	SRR13215408
92897896	SRR13215409
100867144	SRR13215410
99462297	SRR13215411
94463887	SRR13215412
89678278	SRR13215413
85886515	SRR13215414
94084006	SRR13215415
92946432	SRR13215417
119369628	SRR13215418
9727126	SRR13215448
12314675	SRR13215449
68299029	SRR13215450
49623046	SRR13215451
50130022	SRR13215452
53807631	SRR13215453
58542732	SRR13215454
64658264	SRR2155313
59065302	SRR2155316
38497979	SRR2155320
59870854	SRR2155329
52884676	ERR1916595
66460703	ERR1916596
56011490	ERR1916597
70465431	ERR1916598
56123377	ERR1916599
61069778	ERR1916600
69837271	ERR1916601
63897367	ERR1916602
55883649	ERR1916603
69177484	ERR1916604
65635764	ERR1916605
60880660	ERR1916606
60444705	ERR1916607
53902806	ERR1916608
55457841	ERR1916609
56429406	ERR1916610
66532031	ERR1916611
72268152	ERR1916612
68993240	ERR1916613
66709789	ERR1916614
9003875	ERR232270
13132886	ERR232271
13252044	ERR232272
14835350	ERR232273
10237828	ERR232274
8227447	ERR232275
13977886	ERR232276
6196431	ERR232277
14758289	ERR232278
9097701	ERR232279
